001310025031523333;4;T3155;413312369B785865
001310025031523333;4;T3155;413312369B785865
001310025039036277;5;T314;5593256228968637
001310095031025297;5;T315;4571626337151869
001310095098409264;4;T344;5051231A51777834
001310115039461241;5;T3217;5336055714567W68
001310115091580617;3;XZ148;5158916776798467
001310215054247833;5;T3106;493037383B115182
001310215057647361;6;T3209;4472297968561852
001310285011865813;3;XZ1189;48044710494937578
001310285074694762;2;XZ1140;58214110775681949
001310355018772932;1;XZ115;5862548186143682
001310355054146518;2;XZ137;57762610183714443
001310485026253253;4;T3276;5752135243493W67
001310485055799631;1;XZ1143;59108127Z6649585
001310665012697568;5;T330;593421372B283644
001310665036883279;3;XZ1183;4994097881856377
001310675033485245;1;XZ112;43403110355719258
001310675071967335;1;XZ1196;480575341B513531
001311085034578699;5;T3294;59564944899X2611
001311085055058622;3;XZ194;57674422Z8383894
001311105019166929;5;T3258;5937919833528212
001311105063708051;5;T3166;487291338B172675
001311325073854207;6;T371;4445395962247W88
001311325074466131;4;T371;480245378B644462
001311665054257456;2;XZ137;4900239547246682
001311665072766042;3;XZ1246;486871388B676445
001311735040421951;2;XZ14;4615997795676158
001311735087010020;1;XZ1225;58690847965X6998
001311775015056000;3;XZ1222;48427010445928718
001311775026713144;6;T339;5800075672377W76
001311835053713713;5;T3258;4725396178923263
001311835054868230;3;XZ121;5995481A79577152
001311905020629046;1;XZ1205;5261379597766199
001311905038301065;5;T3107;49304410428396825
001311975034236948;4;T360;426941338B825929
001311975039383541;2;XZ1259;5927885499958W89
001312085054683002;1;XZ177;56590747949X3826
001312085081076429;3;XZ1283;5668741A81914523
001312085090602798;6;T381;41806910122232583
001312185062912409;2;XZ1124;4557666818389662
001312295031079924;5;T38;5384971A71228169
001312295046750448;6;T3257;4411491A73582191
001312485018513872;1;XZ196;5926836694719197
001312485041733762;6;T345;4826419942919437
001312485058579474;1;XZ1197;56758010152632971
001312565026664580;1;XZ1149;539860375B744835
001312565061107749;1;XZ1178;5371481A17858635
001312685024345761;1;XZ179;437287332B893437
001312685091829216;6;T3300;4285181A36892228
001312705020286791;6;T38;4263276663232695
001312705080529464;3;XZ118;49095910534264732
001312715022627655;4;T375;4181937656595983
001312715095077515;3;XZ1238;5343001A95451185
001312845048072357;6;T3131;57026610115928989
001312845081905896;2;XZ16;4611907743149541
001312905027641755;3;XZ1236;509554392B567928
001312905038376335;1;XZ1163;4550005534753W12
001312955046761335;1;XZ192;5948787561754815
001312955090139190;2;XZ1105;46496225Z4446478
001313145043687598;4;T322;5118276215266264
001313145084207655;2;XZ1247;4776886678664987
001313245055146397;1;XZ1296;4647208173893553
001313245063857859;6;T352;5695136118368561
001313335060870466;4;T3219;553469389B791626
001313335072546272;3;XZ1285;5361715298228W79
001313335085397591;5;T3276;4161757683352825
001313335099084788;6;T331;52687824Z9717259
001313435021356312;4;T3196;56169148834X2967
001313435090309957;1;XZ1145;4117426257275955
001313585028534561;2;XZ136;5787887163216157
001313585074091280;1;XZ1138;5371897496226472
001313635023512043;2;XZ1217;42707610895539995
001313635038735083;6;T3194;55063845134X9367
001313685044320511;1;XZ127;59965625Z9125363
001313825032837978;2;XZ1224;54794248759X5775
001313825070975490;6;T3113;4412485352857W25
001313905011128542;1;XZ1135;5725576155319695
001313905078223849;5;T361;53558345862X4156
001313935025061359;6;T3291;4418565715126W63
